System,Row,Field,Issue
System A,6,account_balance,"Type mismatch in 'account_balance' (expected amount, got text)"
System A,9,account_balance,"Type mismatch in 'account_balance' (expected amount, got text)"
System A,13,loyalty_points,"Type mismatch in 'loyalty_points' (expected id, got amount)"
System A,14,loyalty_points,"Type mismatch in 'loyalty_points' (expected id, got amount)"
System A,15,account_balance,"Type mismatch in 'account_balance' (expected amount, got text)"
System A,17,account_balance,"Type mismatch in 'account_balance' (expected amount, got text)"
System A,18,account_balance,"Type mismatch in 'account_balance' (expected amount, got text)"
System A,19,loyalty_points,"Type mismatch in 'loyalty_points' (expected id, got amount)"
System A,24,loyalty_points,"Type mismatch in 'loyalty_points' (expected id, got amount)"
System A,25,account_balance,"Type mismatch in 'account_balance' (expected amount, got text)"
System A,26,phone,"Type mismatch in 'phone' (expected text, got phone)"
System A,27,phone,"Type mismatch in 'phone' (expected text, got phone)"
System A,29,loyalty_points,"Type mismatch in 'loyalty_points' (expected id, got amount)"
System A,31,phone,"Type mismatch in 'phone' (expected text, got phone)"
System A,33,loyalty_points,"Type mismatch in 'loyalty_points' (expected id, got amount)"
System A,35,phone,"Type mismatch in 'phone' (expected text, got phone)"
System A,36,loyalty_points,"Type mismatch in 'loyalty_points' (expected id, got amount)"
System A,38,loyalty_points,"Type mismatch in 'loyalty_points' (expected id, got amount)"
System A,40,phone,"Type mismatch in 'phone' (expected text, got phone)"
System A,42,loyalty_points,"Type mismatch in 'loyalty_points' (expected id, got amount)"
System A,43,loyalty_points,"Type mismatch in 'loyalty_points' (expected id, got amount)"
System A,45,phone,"Type mismatch in 'phone' (expected text, got phone)"
System A,45,loyalty_points,"Type mismatch in 'loyalty_points' (expected id, got amount)"
System A,46,loyalty_points,"Type mismatch in 'loyalty_points' (expected id, got amount)"
System B,4,rewards_earned,"Type mismatch in 'rewards_earned' (expected id, got amount)"
System B,6,preferred_contact_method,"Type mismatch in 'preferred_contact_method' (expected text, got id)"
System B,7,mobile_number,"Type mismatch in 'mobile_number' (expected text, got phone)"
System B,8,rewards_earned,"Type mismatch in 'rewards_earned' (expected id, got amount)"
System B,11,mobile_number,"Type mismatch in 'mobile_number' (expected text, got phone)"
System B,11,preferred_contact_method,"Type mismatch in 'preferred_contact_method' (expected text, got id)"
System B,12,preferred_contact_method,"Type mismatch in 'preferred_contact_method' (expected text, got id)"
System B,15,mobile_number,"Type mismatch in 'mobile_number' (expected text, got phone)"
System B,15,rewards_earned,"Type mismatch in 'rewards_earned' (expected id, got amount)"
System B,15,preferred_contact_method,"Type mismatch in 'preferred_contact_method' (expected text, got id)"
System B,16,rewards_earned,"Type mismatch in 'rewards_earned' (expected id, got amount)"
System B,17,rewards_earned,"Type mismatch in 'rewards_earned' (expected id, got amount)"
System B,19,rewards_earned,"Type mismatch in 'rewards_earned' (expected id, got amount)"
System B,19,preferred_contact_method,"Type mismatch in 'preferred_contact_method' (expected text, got id)"
System B,21,rewards_earned,"Type mismatch in 'rewards_earned' (expected id, got amount)"
System B,22,rewards_earned,"Type mismatch in 'rewards_earned' (expected id, got amount)"
System B,24,preferred_contact_method,"Type mismatch in 'preferred_contact_method' (expected text, got id)"
System B,26,rewards_earned,"Type mismatch in 'rewards_earned' (expected id, got amount)"
System B,26,preferred_contact_method,"Type mismatch in 'preferred_contact_method' (expected text, got id)"
System B,30,preferred_contact_method,"Type mismatch in 'preferred_contact_method' (expected text, got id)"
System B,34,rewards_earned,"Type mismatch in 'rewards_earned' (expected id, got amount)"
System B,35,preferred_contact_method,"Type mismatch in 'preferred_contact_method' (expected text, got id)"
System B,37,preferred_contact_method,"Type mismatch in 'preferred_contact_method' (expected text, got id)"
System B,38,mobile_number,"Type mismatch in 'mobile_number' (expected text, got phone)"
System B,43,preferred_contact_method,"Type mismatch in 'preferred_contact_method' (expected text, got id)"
System B,44,mobile_number,"Type mismatch in 'mobile_number' (expected text, got phone)"
System B,46,mobile_number,"Type mismatch in 'mobile_number' (expected text, got phone)"
System B,48,preferred_contact_method,"Type mismatch in 'preferred_contact_method' (expected text, got id)"
